date,category,event,qqq_same_day_pct,btc_same_day_pct,correlation_change,note
2020-03-12,Macro,Black Thursday — COVID 팬데믹 선언,-6.9,-39.0,coupling 시작,"같은 날 동시 급락, 이후 Fed QE로 동반 반등"
2020-03-23,Fed,Fed 무제한 QE 발표,6.1,9.3,+0.50,리스크오프 자산 동반 랠리
2020-08-11,Corporate,MicroStrategy 첫 BTC 매입 ($4.25억),1.1,3.2,중립,BTC-기업 연결 첫 구조적 신호
2020-10-21,Corporate,PayPal 크립토 지원 발표,0.4,7.7,+0.10,기관 접근성 확대
2021-02-08,Corporate,Tesla $15억 BTC 매입 발표,0.1,19.5,-0.05,BTC 단독 급등 (탈동조)
2021-04-14,Corporate,Coinbase 나스닥 상장 (COIN),-0.5,-3.8,+0.20,크립토-주식 제도적 연결
2021-05-19,Regulation,중국 채굴 금지,-0.8,-30.0,-0.35,"BTC 단독 폭락, 탈동조 (-0.05~-0.20)"
2021-09-20,Macro,"Evergrande 사태, 헝다 디폴트 공포",-2.2,-8.9,+0.40,동반 리스크오프
2021-10-19,Product,BITO 선물 ETF 상장,0.7,1.6,+0.15,새 커플링 채널
2021-11-10,Macro,"CPI 6.2% (최고치), 금리 인상 기대",-2.0,-5.7,+0.30,인플레 공포 동반 하락
2022-02-24,Geopolitical,러시아 우크라이나 침공,-3.1,-8.3,+0.45,리스크오프 동조 피크
2022-05-10,Crypto,LUNA/UST 붕괴 시작,-1.6,-28.0,-0.20,"크립토 단독 shock, 주식은 경미"
2022-06-13,Crypto,Celsius 인출 중단,-3.5,-15.6,+0.55,동반 크래시
2022-11-09,Crypto,FTX 붕괴,-2.4,-23.4,+0.50,크립토-주식 연쇄 하락
2023-01-10,Macro,Fed 금리 인상 속도 둔화 기대,1.4,3.2,+0.50,동반 반등 시작
2023-03-10,Macro,SVB 은행 파산,-1.7,7.5,-0.60,BTC 'safe haven' 내러티브 첫 출현
2023-06-15,Regulation,BlackRock BTC ETF 신청,1.0,6.0,+0.30,제도적 기대감 동조
2023-09-25,Macro,미 10년 국채 금리 5% 돌파,-1.3,-2.5,-0.10,고금리 우려로 둘 다 하락
2023-11-17,Regulation,BlackRock ETF 승인 임박 보도,0.5,3.2,+0.25,동반 랠리 시작
2024-01-11,Regulation,Spot BTC ETF 승인 (11개 동시),0.1,3.9,+0.30,$100억+ 유입 시작
2024-07-17,Macro,Crowdstrike 글로벌 블루스크린,-0.8,-1.2,+0.40,시스템 리스크 동반 반응
2024-08-05,Macro,일본 yen carry trade 청산,-3.0,-14.0,+0.55,10년만의 일본발 쇼크 동반
2024-11-06,Political,트럼프 대선 승리,2.5,8.0,+0.45,리스크온 공동 랠리 시작
2025-02-03,Political,트럼프 관세 행정명령,-1.9,-5.2,+0.60,무역 긴장 동반 하락
2025-04-02,Political,'Liberation Day' 관세 재발표,-5.9,-8.1,+0.70,단일일 peak 상관관계
2025-07-15,AI,Nvidia Blackwell 출하 지연,-2.3,-1.1,+0.20,"기술주 단독 shock, BTC 경미"
2025-10-10,Crypto,10월 Flash Crash ($200억 청산),-0.3,-12.0,-0.65,크립토 단독 붕괴 시작
2025-11-20,Macro,MSTR MSCI 재분류 우려,0.5,-5.3,-0.40,MSTR-BTC 피드백 루프 우려
2025-12-04,Structural,BTC-NDX 30일 상관관계 -0.43,-0.2,1.8,-0.43,역사적 저점 상관 진입
2026-02-17,AI,AI 버블 우려 기술주 매도,-1.2,-1.25,+0.72,2주 만에 -0.68 → +0.72 swing
2026-04-16,Structural,BTC-NDX 상관관계 -0.20 (10년 최저),0.5,-0.5,-0.20,van de Poppe: 역사적 반등 시그널
