period,btc_qqq_30d_corr,btc_sp500_30d_corr,qqq_return_pct,btc_return_pct,regime,key_event
2020-Q1,-0.05,-0.08,-14.2,-10.5,pre-coupling,"COVID-19 선언, 3월 급락 시작"
2020-Q2,0.28,0.25,30.6,42.3,coupling-emerging,"Fed 무제한 QE, 리스크온 전환"
2020-Q3,0.35,0.3,12.1,18.0,coupling-active,Square/MicroStrategy BTC 매입 시작
2020-Q4,0.42,0.38,15.4,170.3,coupling-active,"MSTR 첫 $4.25억 BTC 매입, PayPal 크립토 지원"
2021-Q1,0.4,0.36,2.1,103.1,coupling-active,"Tesla $15억 BTC 매입 (2021-02), Coinbase 상장"
2021-Q2,0.32,0.28,11.2,-40.3,partial-decoupling,"중국 채굴 금지, BTC -53% 폭락 vs QQQ 랠리"
2021-Q3,0.15,0.18,-0.3,25.0,decoupling,"헝다 사태, 규제 불확실성 속 독립적 움직임"
2021-Q4,0.48,0.42,8.4,-18.1,recoupling,"BITO 선물 ETF 상장, 연말 리스크오프 동조"
2022-Q1,0.55,0.5,-9.1,-1.5,coupling-strong,"우크라이나 전쟁, Fed 금리 인상 시작"
2022-Q2,0.72,0.68,-22.4,-56.3,coupling-extreme,"LUNA 붕괴, 금리 인상 가속"
2022-Q3,0.68,0.65,-4.4,0.5,coupling-strong,"3AC·Celsius 파산, 인플레이션 지속"
2022-Q4,0.75,0.7,-1.0,-15.1,coupling-extreme,"FTX 붕괴 (11월), 시장 혼란"
2023-Q1,0.52,0.48,20.5,71.8,coupling-active,"BlackRock BTC ETF 신청 (6월), 은행 위기"
2023-Q2,0.38,0.35,15.4,7.2,coupling-active,BlackRock 현물 ETF 출원 공식화
2023-Q3,-0.1,-0.08,-2.9,-10.9,negative-correlation,"9월 국채 금리 급등, BTC 독립 하락"
2023-Q4,0.45,0.42,14.5,56.7,coupling-active,"ETF 승인 임박, 동반 랠리"
2024-Q1,0.52,0.48,8.3,65.2,coupling-strong,"Spot BTC ETF 1월 11일 승인, $100억+ 유입"
2024-Q2,0.45,0.42,7.8,-12.4,coupling-active,"매도 물량 (Mt. Gox, German gov) 동조"
2024-Q3,-0.12,-0.15,1.9,-3.3,negative-correlation,"일본 yen carry trade 청산, BTC $49k 저점"
2024-Q4,0.45,0.4,4.0,47.2,coupling-active,"트럼프 당선, 리스크온 공동 랠리"
2025-Q1,0.68,0.62,3.2,12.5,coupling-extreme,"관세 논의, 지정학 긴장 → 동반 변동성"
2025-Q2,0.58,0.52,5.1,8.3,coupling-strong,"관세 구조적 시행, 거시 의존도 높음"
2025-Q3,0.45,0.4,2.3,18.5,coupling-active,AI 랠리 속 비트코인 ATH $126k 근접
2025-Q4,-0.2,-0.25,1.5,-27.0,negative-correlation,"10월 10일 flash crash 청산 폭포, MSTR MSCI 이슈"
2026-Q1,-0.2,-0.18,0.5,8.0,negative-correlation,"MSCI 결정 대기, AI 섹터 선호 vs 크립토 약세"
2026-Q1_late,-0.2,-0.15,2.1,5.5,negative-correlation-extreme,"4월 역사적 저점 상관관계, BTC 반등 시그널"
