period,LVMH_pct,Hermes_pct,Kering_pct,Richemont_pct,Ferrari_pct,Moncler_pct,GLUX_ETF_pct,SP500_pct,MSCI_China_pct
2020-H1,-10,2,-18,-13,-10,-3,-8,-4,-2
2020-H2,30,25,12,45,18,24,28,20,25
2021-H1,35,32,28,38,40,35,33,14,5
2021-H2,18,25,4,8,15,12,15,11,-22
2022-H1,-22,-20,-25,-18,-15,-23,-22,-20,-13
2022-H2,14,30,10,20,25,28,18,3,-8
2023-H1,30,32,-2,8,40,24,22,16,-8
2023-H2,-10,15,-3,12,20,18,10,7,-14
2024-H1,-1,15,-18,-5,18,-3,4,14,-2
2024-H2,-12,5,-22,18,10,-5,-8,7,15
2025-H1,-18,-2,-10,-5,10,-6,-10,5,18
2025-H2,-9,-3,-6,2,5,-6,-2,3,-5
2026-Q1,5,8,12,10,7,6,8,4,6
