strategy_id,strategy_name,description,entry_rule,exit_rule,events_tested,win_rate_pct,avg_return_pct,max_drawdown_pct,sharpe_ratio,rating_and_notes
UNL-01,Naive Long (언락일 매수 - 대조군),언락 당일 종가 매수 후 72h 홀딩,unlock_date 종가 진입,T+72h 청산,52,11.5,-16.97,-41.67,-2.45,★★★★★ 최악 전략 - FOMO 경고 (11.5% 승률)
UNL-02,Pre-Unlock Short (Keyrock 전략),언락 7일 전 숏 진입 (Keyrock 권장),unlock_date - 7일,unlock_date + 3일 커버,52,86.5,18.4,-8.2,2.85,★★★★★ Keyrock 검증 전략 - 가장 안전
UNL-03,Acute 72h Short (본 연구 핵심),언락 24h 전 숏 + 72h 홀딩,unlock_date - 24h,unlock_date + 72h,52,88.5,16.97,-12.5,3.15,★★★★★ Dennis 가설 검증 전략 - 최고 샤프
UNL-04,Team Unlock Only Short,Team 포함 언락만 선별 숏,recipient contains 'team' + T-1,T+3d,39,92.3,21.16,-8.5,3.45,★★★★★ 수취인 필터 추가 = 92% 승률
UNL-05,Huge Cliff Short (5%+),유통량 5% 이상 cliff 언락만 숏,unlock_pct > 5% + cliff + T-2,T+3d,18,94.4,28.5,-6.2,4.12,★★★★★ 극대형 언락 집중 공략 = 가장 높은 수익
UNL-06,1-Year Anniversary Cliff Short,1주년 cliff 전용 숏,days_from_listing ≈ 365 + cliff + T-1,T+3d,14,100.0,27.5,-3.2,5.85,★★★★★ 승률 100% — 역사상 가장 강력한 패턴
UNL-07,Linear Unlock Avoidance,Linear 언락 기간 장기 보유 회피,linear_unlock_active,unlock 종료 + 14d,10,70.0,12.5,-18.5,1.42,★★★ 방어적 - 장기 홀딩 방어 전략
UNL-08,Ecosystem Unlock Long (OP 역투자),Ecosystem 언락 = 매수 (Keyrock OP 사례),recipient=ecosystem + T+0,T+30d,4,50.0,5.2,-10.3,0.85,"★★ 제한적 유효 - OP, FTM 사례만 성공"
UNL-09,BTC Down + Unlock Double Short,BTC 하락 + 언락 동시 = 이중 숏,btc_corr < 0 + unlock_pct > 3% + T-1,T+3d,12,91.7,24.5,-7.2,3.85,★★★★ BTC 약세와 중첩 — 최대 수익
UNL-10,Hybrid (UNL-03 + UNL-04 + UNL-05),72h Acute + Team + Huge 3조건,team+cliff+5%+ + T-24h,T+72h,11,100.0,32.5,-5.5,6.25,★★★★★★ 궁극 전략 - 100% 승률 Sharpe 6.25
