symbol,name,list_date,category,initial_price_usd,peak_multiple,current_multiple,foundation_supply_pct_estimated,holders_at_launch,holders_at_peak,peak_24h_volume_usd_m,graduated_to,btc_price_at_list,performance_notes
EPT,Balance (AI+Web3),2025-04-15,AI,0.008,12.5,0.42,95,3200,48000,45.2,Alpha Only,85200,초기 +1150% 후 -96% 붕괴
NXPC,Nexpace,2025-05-15,Gaming,0.15,8.2,1.8,88,5400,112000,133.0,Spot+Futures,98400,"상장 첫날 $133M 거래량, 그 후 -78%"
OBOL,Obol Network,2025-05-18,Infra,0.42,3.5,0.88,72,8100,156000,78.5,Futures (50x),102300,DVT 기술 실사용 있어 상대 안정
HUMA,Huma Finance,2025-06-02,PayFi,0.085,6.7,0.52,90,4200,98000,62.8,Spot,95100,"PayFi 네러티브, 펌프 후 -93%"
SOON,SOON Network,2025-06-20,L2,1.2,4.8,0.95,85,6700,142000,156.0,Spot+Futures,107800,초기 펌프 강했으나 매물 출회
AIN,Infinity Ground,2025-07-05,AI+Gaming,0.028,15.2,0.08,97,2100,78000,92.3,Alpha Only,112400,★ 전형적 초저플로팅 × MM 봇 펌프 × -99% 붕괴
PAAL,PAAL AI,2025-07-22,AI,0.31,5.2,2.1,78,12500,245000,124.0,Spot,117800,실사용 있어 재상승 성공
GAIB,GAIB (AI Infra),2025-11-19,AI+Infra,0.45,7.8,1.2,92,3800,89000,198.5,Alpha+Futures 30min,94200,40x 레버리지 30분 후 제공 = MM 매도압 즉시
RAYLS,Rayls,2025-12-01,Privacy,0.15,4.2,0.38,89,4100,71000,52.3,Alpha,89300,"프라이버시 네러티브, 상장 후 -91%"
MYX,MYX Finance,2025-12-15,DeFi,0.22,18.5,3.8,82,5200,198000,345.0,Spot+Futures,91800,★ 2025 최대 성공 - $9053/user airdrop value
DIGI,MineD,2025-11-22,Mining,0.012,9.2,0.15,96,2800,68000,38.4,Alpha,93500,"75K 풀, -98% 붕괴"
BREV,Brevis,2026-01-06,ZK,0.095,6.5,0.72,91,3500,92000,68.7,Alpha,94800,"ZK 네러티브, 2026 첫 상장"
DN,DeepNode,2026-01-09,DePIN,0.42,5.8,0.98,87,4200,105000,89.3,Alpha Exclusive,95200,"상장 첫날 +58%, 그 후 -83%"
KGST,KGST (Sovereign),2025-12-24,Stable,1.01,1.42,1.03,60,8500,45000,28.5,Launchpool,92100,스테이블형 → 변동 낮음 (대조군)
SAPIEN,SAPIEN,2025-11-10,AI,0.18,5.4,0.28,93,3200,87000,72.4,Alpha,91500,11월 -94% 붕괴
MetaArena,MetaArena,2025-12-18,Gaming,0.05,35.3,2.8,94,1500,68000,276.9,Alpha,90800,★ V/MC 35.3x = 극단적 washtrade 의심
Mubarakah,Mubarakah,2026-01-05,Meme,0.003,116.6,4.2,98,800,54000,48.2,Alpha,95100,24H +116% = MM 펌프 극단 예시
RICE,Rice AI,2025-09-14,AI+DePIN,0.08,8.4,0.45,89,4800,128000,98.5,Alpha→Spot,118200,"DWF Labs 투자 표시, 펌프 후 -95%"
BIO,BIO Protocol,2025-12-28,DeSci,0.055,7.2,1.1,83,6200,145000,118.4,Launchpool,93800,"63번째 Launchpool, DeSci 네러티브"
I Ride a Horse,我骑马来了,2026-01-02,Meme,0.0001,2714,85,99,340,28000,83.5,Alpha,94500,★★ +2714% 7일 - 최극단 재단 보유 + MM 펌프
