pattern_id,pattern_type,example_token,day_from_listing,holder_count,daily_delta,unique_buyers_24h,avg_holding_usd,top10_concentration_pct,notes
NORMAL-01,유기적 성장,OBOL,1,8100,8100,2400,185,42,실사용 프로젝트 정상 패턴
NORMAL-02,유기적 성장,OBOL,7,28500,2914,1850,220,38,꾸준한 신규 지갑 유입
NORMAL-03,유기적 성장,OBOL,14,48200,2814,1520,245,35,홀더 다양화
NORMAL-04,유기적 성장,OBOL,30,89300,1370,890,268,32,1개월 후 성숙
NORMAL-05,유기적 성장,OBOL,60,125000,595,520,285,30,분산화 진행
PUMP-01,MM 펌프 시작,AIN,1,2100,2100,800,45,92,초기 지갑 매우 적음
PUMP-02,MM 펌프 가속,AIN,3,18500,5467,3200,82,78,지갑 급증 + 집중도 여전히 높음
PUMP-03,정점 구간,AIN,5,78000,19750,12000,125,65,최대 볼륨 · 최대 지갑
PUMP-04,덤프 시작,AIN,7,82000,2000,1800,92,55,지갑 증가 정체
PUMP-05,덤프 진행,AIN,14,81500,-71,450,35,48,★ 지갑 감소 = 이탈
PUMP-06,완전 붕괴,AIN,30,76200,-177,120,12,42,최대 -99% 가격
EXTREME-01,재단 99% 극단,我骑马来了,1,340,340,120,8,98,극소 홀더 - 재단 + MM
EXTREME-02,극단 펌프 폭발,我骑马来了,3,8500,2720,5800,95,82,+2714% 펌프 중
EXTREME-03,극단 덤프,我骑마来了,7,28000,6500,850,18,65,대규모 투자자 흡수 후
EXTREME-04,잔여 세력,我骑马来了,14,22000,-857,85,6,72,지갑 감소 가속
WASH-01,V/MC > 10x 의심,MetaArena,1,1500,1500,500,25,95,V/MC 35.3x = 극단 wash
WASH-02,봇 거래 집중,MetaArena,3,12000,3500,8500,42,85,봇 스왑 반복
WASH-03,신규 없이 볼륨만,MetaArena,7,68000,8000,12000,58,75,지갑 대비 볼륨 이상
HEALTHY-01,실사용 재상승,MYX,30,180000,2500,3200,485,28,Spot 상장 후 자생
HEALTHY-02,실사용 재상승,MYX,60,245000,1083,2800,512,25,분산화 성공 케이스
