date,event,market_contract,pre_event_timing,wallet_age_before_first_bet,profit_usd,win_rate,source
2025-01-10,Maduro 베네수엘라 축출,'Maduro out by Jan 31' YES,수 시간 전,신규 (며칠),400000,100%,NPR / AP
2025-01-11,Hunter Biden pardon,'Biden pardons Hunter',1 개월 전,기존 활성,108000,100%,NPR / Bubblemaps
2025-01-20,Biden 최종일 사면 (4건),복수 pardon YES contracts,출국 몇 시간 전,기존 활성,316346,100% (5/5),NPR / Bubblemaps
2025-02-27,US Iran strike 가능성 배팅,'Iran strike by Feb 28' YES,"수일 전 (2/22 지갑 생성, 2/27 베팅)",5일 (2/22 입금),1100000,100%,Al Jazeera / Polymarket History
2026-02-28,미-이스라엘 이란 공습 (6 wallets),'US strikes Iran by Feb 28' YES,**71분 전** (Magamyman),**신규 ('신규 지갑' 6개)**,1200000,100%,Harvard 논문 / CNN
2026-02-28,Magamyman 계정 - Khamenei 해임,'Khamenei out' YES + Iran strike,71분 전 첫 거래 (17% implied),신규,553000,100%,Harvard 논문
2026-03-16,Single trader 93% win rate 분석,다수 US/Israel military contracts,dozens of bets since 2024,지속 활성,1000000,**93% (dozens of bets)**,CNN / Bubblemaps
2026-03-21,8 신규 계정 ceasefire 베팅,'US-Iran ceasefire by Mar 31' YES,며칠 전 (3/21 생성),**신규 (며칠)**,70000,,Guardian / Times of Israel
2026-04-07,Trump 휴전 발표 (50+ wallets),'Iran ceasefire by Apr 7' YES,**수 시간 ~ 12분 전**,**50+ 신규 계정**,600000,100%,AP / Bubblemaps
2026-04-07,Trader A (Trump 포스팅 12분 전 지갑),Ceasefire YES at $0.33,**12분 전 지갑 생성**,**12분**,48500,100%,Euronews
2026-04-07,Trader B (전날 가입),Ceasefire YES,1일 전 가입,1일,125500,100%,Euronews
2026-04-07,Trader C (최대 이익),Ceasefire YES,당일,당일,200000,100%,Euronews
2025-12-22,'US strikes Iran by...?' 시장 개설,복수 만기 contract,시장 전체,-,529000000,-,Polymarket (총 거래량)
2026-04-08,Iran ceasefire 시장 총 거래량,다수 ceasefire contracts,시장 전체,-,170000000,-,Bloomberg
2024-02 ~ 2026-02,Harvard 전체 의심 수익 추정,"93,000 markets, 50,000 wallets",평균 pre-event 시점,다양,143000000,**69.9% (60+ SD 이탈)**,Harvard Corp Gov 2026
