ticker,company,asset,strategy_start,holdings_units,holdings_usd_b,mnav_peak,mnav_peak_date,mnav_trough,mnav_trough_date,mnav_current,mnav_date,leverage_type,notes
MSTR,Strategy (구 MicroStrategy),BTC,2020-08,780897 BTC,60.26,3.89,2024-11,0.97,2025-11-12,1.2,2026-04,Convertible notes + ATM equity,DAT 원조. 42/42 Plan으로 $84B 자금 조달 중. BTC 공급량의 3.9% 보유
MARA,MARA Holdings,BTC,2021-01,~50000 BTC,3.86,2.5,2024-Q1,0.85,2025-11,1.05,2026-04,Mining + equity,채굴 + 보유 하이브리드. 채굴 수익이 valuation에 영향
RIOT,Riot Platforms,BTC,2021-01,~16000 BTC,1.24,3.0,2024-Q1,0.9,2025-Q4,1.1,2026-04,Mining + equity,전통적 채굴 기업. DAT 특성은 MARA보다 약함
CLSK,CleanSpark,BTC,2022,~11000 BTC,0.85,2.8,2024-Q1,0.75,2025-Q4,1.0,2026-04,Mining,효율적 채굴 + HODL. 원가 낮은 편
COIN,Coinbase Global,BTC+ETH+Mixed,2021 (IPO),9480 BTC + 151175 ETH + etc,1.1,5.0,2024-Q4,3.5,2025-Q4,4.0,2026-04,운영사업 > 재무 보유,거래소 사업이 주력. DAT 특성은 보조적. mNAV는 사업가치 프리미엄 포함
HUT,Hut 8,BTC,2021,~10000 BTC,0.77,2.5,2024,0.9,2025-Q4,1.15,2026-04,Mining + HPC,AI/HPC 사업 병행으로 valuation 분산
SMLR,Semler Scientific,BTC,2024-05,~3800 BTC,0.29,2.2,2024-Q3,0.85,2025-Q4,1.1,2026-04,Healthcare cashflow + equity,의료기기 기업이 DAT 전환. MSTR 모방 케이스
GME,GameStop,BTC,2025-Q2,~5000 BTC,0.39,3.5,2025-Q2,1.8,2025-Q4,2.5,2026-04,현금 보유 > equity,밈 주식 + 재무 BTC 전환. 투기 프리미엄 과도
BMNR,BitMine Immersion,ETH,2025-07,4874858 ETH,11.37,4.5,2025-07,0.85,2025-11,0.95,2026-04,Equity issuance (희석 심각),Tom Lee 주도. ETH 공급량 3.9%. 1년 범위 $3.20~$161 → 현재 $22. 주주 희석으로 ETH 직투보다 -73% 언더퍼폼
SBET,SharpLink Gaming,ETH,2025-05,868699 ETH,2.03,3.2,2025-07,0.8,2025-Q4,0.9,2026-04,Equity issuance (절제),mNAV > 1일 때만 구매하는 규율. 6개월 -60%. 원래 sports betting 기업
DYNX,The Ether Machine,ETH,2025-Q3,496712 ETH,1.16,2.5,2025-Q3,0.8,2025-Q4,0.95,2026-04,Equity + staking yield,BMNR 비판 대장: August 매수자 -73% vs ETH 직투 -30%
BTBT,Bit Digital,ETH,2024-Q4,155444 ETH,0.36,2.0,2025-Q2,0.75,2025-Q4,0.9,2026-04,Mining → ETH pivot,BTC mining → ETH treasury 전환. 희석 주의
BTCS,BTCS Inc.,ETH,2021,70140 ETH,0.16,1.8,2024,0.7,2025-Q4,0.85,2026-04,소규모 equity,초기 ETH staking 기업. 규모 작음
DFDV,DeFi Development (SOL),SOL,2025-Q1,~1.3M SOL,0.2,3.5,2025-Q2,1.0,2025-Q4,1.3,2026-04,Equity,최초의 SOL treasury. 소규모
UPXI,Upexi,SOL,2025,~0.7M SOL,0.11,3.0,2025-Q2,0.95,2025-Q4,1.2,2026-04,소규모 equity,SOL staking yield 수익화
