date,ticker,mnav,underlying_price_usd,regime_description,signal
2020-08,MSTR,1.0,11500,초기 진입 — 프리미엄 없음,LONG
2021-02,MSTR,1.4,48000,"상승 확정, 프리미엄 축적 시작",HOLD
2021-11,MSTR,2.2,67000,Bull cycle peak,DE-RISK
2022-06,MSTR,0.7,19000,LUNA 붕괴 + 3AC — sub-NAV,STRONG LONG
2022-12,MSTR,0.9,16500,"FTX 여진, 저평가 지속",LONG
2024-03,MSTR,2.5,70000,ETF 승인 후 랠리,HOLD
2024-11,MSTR,3.89,95000,역사적 프리미엄 peak — 거품 신호,SHORT MSTR / LONG BTC
2025-07,BMNR,4.5,3800,ETH DAT 신규 피크,SHORT BMNR / LONG ETH
2025-11-12,MSTR,0.97,88000,서브-NAV 재진입,LONG (arbitrage)
2025-11,BMNR,0.85,2500,서브-NAV + 희석 피해,CAUTIOUS LONG (레버리지 금지)
2026-03,MSTR,1.2,90000,"정상화 중, 완만 프리미엄",NEUTRAL
2026-04,MSTR,1.2,93000,VanEck 공식 1.20x,NEUTRAL
